text,category
"Hertz Luxury Convertible Rental Weekly Economy Car Lease Gold Plus Booking Total: $90179.00",Travel & Transport
"Costco Wholesale Rotisserie Chicken Whole Kirkland Signature Paper Towels 12 Roll Organic Extra Virgin Olive Oil 2L #INV-81724",Groceries & Supermarkets
"Netflix Extra Member Slot Fee Standard HD Monthly Subscription Premium 4K Ultra HD Plan Total: $91905.00",Entertainment & Events
"Linear Standard Team Workspace Ref#86142",Software & Cloud Services
"Southwest Airlines EarlyBird Check-in Addon Anytime Roundtrip Flight #INV-80372",Travel & Transport
"Verizon Fios 1000Mbps Fiber Internet Service Qty: 71192",Telecommunications & Internet
"Starbucks Avocado Toast Total: $40021.00",Food & Dining
"Uber Uber Comfort Executive Trip Fare Downtown ₹64144,000",Travel & Transport
"LinkedIn Learning Monthly Unlimited Learning Access Enterprise Skill Training Subscription Qty: 44905",Education & Subscriptions
"Udemy AWS Solutions Architect Certification Course Online Video Course Purchase Receipt #21852",Education & Subscriptions
"Linear Enterprise Product Management Integrations API Access Standard Team Workspace Total: $15426.00",Software & Cloud Services
"Deloitte Financial Audit Accounting Services Management Consulting Retainer Corporate Tax Compliance Advisory Total: $42045.00",Professional & Legal Services
"Semrush Guru SEO Competitor Analytics Plan Store #94657",Marketing & Advertising
"Mailchimp Transactional Email API Credits Automated Customer Journey Builder #INV-49438",Marketing & Advertising
"Coursera Professional Certificate Course Fee Coursera for Business User License Store #17053",Education & Subscriptions
"PwC PricewaterhouseCoopers Transaction Tax Structuring Services ₹80493,000",Professional & Legal Services
"CBRE Commercial Office Space Monthly Lease Common Area Maintenance CAM Fee Total: $850.00",Real Estate & Rent
"State Farm Insurance Personal Umbrella Policy Premium Homeowners Policy Premium Invoice Auto Insurance Liability Policy ₹60663,000",Insurance & Financial Fees
"TikTok Ads Spark Ads Creator Promotion In-Feed Video Ad Impressions TopView Takeover Ad Campaign Store #21734",Marketing & Advertising
"Meta Facebook Ads Instagram Sponsored Post Campaign Facebook Feed Lead Generation Ads Audience Network Conversions Store #79340",Marketing & Advertising
"HubSpot CMS Hub Web Hosting Tools Txn ID: 40512",Marketing & Advertising
"Pep Boys Tire Rotation Wheel Alignment Service Front Suspension Strut Replacement Radiator Coolant Flush Service Qty: 10085",Maintenance & Repairs
"Amazon Basics Thermal Laminating Pouches Letter Adjustable Monitor Stand Riser Mesh Total: $18864.00",Office Supplies & Equipment
"Comcast Business Static IP Address Subnet Business Internet 1 Gig Line VoIP Business Voice Lines 5 Seats Receipt #57044",Telecommunications & Internet
"Verizon Fios Digital Home Phone Line Fios TV Ultimate HD Channel Package 1000Mbps Fiber Internet Service Store #53855",Telecommunications & Internet
"Kaiser Permanente Doctor Visit Co-pay General Practice Prescription Copayment Specialty Meds Outpatient Surgical Procedure Facility Txn ID: 87011",Healthcare & Pharmacy
"TikTok Ads In-Feed Video Ad Impressions Order #37068",Marketing & Advertising
"State Farm Insurance Homeowners Policy Premium Invoice Personal Umbrella Policy Premium Auto Insurance Liability Policy ₹73126,000",Insurance & Financial Fees
"Spectrum Business Internet Ultra 600Mbps Connection Business Voice Landline Phone Service Order #91898",Utilities & Bills
"Harvard Business Review Executive Leadership Magazine HBR Digital Subscription Annual #INV-47826",Education & Subscriptions
"Lowes Craftsman Socket Wrench Tool Set Pipe Wrench Adjustable Plumbing Total: $15057.00",Maintenance & Repairs
"CBRE Commercial Office Space Monthly Lease Common Area Maintenance CAM Fee Commercial Property Management Charge ₹97308,000",Real Estate & Rent
"AT&T Fiber Gigabit Fiber Internet Monthly Bill Order #24161",Telecommunications & Internet
"Lincoln Property Co Tenant Utility Submeter Charge Residential Suite Lease Payment Building Maintenance Fee Order #78908",Real Estate & Rent
"KFC Popcorn Chicken Large Order #89895",Food & Dining
"Quill Fellowes Cross-Cut Paper Shredder Desk Pad Calendar Monthly Planner Total: $15754.00",Office Supplies & Equipment
"Safeway Supermarket Signature Select Wheat Bread Order #74757",Groceries & Supermarkets
"Comcast Business Static IP Address Subnet Business Internet 1 Gig Line Store #94992",Telecommunications & Internet
"Chipotle Mexican Grill Barbacoa Salad Bowl Chicken Burrito Bowl Order #84863",Food & Dining
"Buffalo Wild Wings Onion Rings Basket Ref#42135",Food & Dining
"Chevron Supreme 93 Fueling Regular Diesel Gas Techron Fuel Injection Order #84766",Travel & Transport
"State Farm Insurance Auto Insurance Liability Policy Personal Umbrella Policy Premium Homeowners Policy Premium Invoice Order #36191",Insurance & Financial Fees
"Verizon LTE Mobile Hotspot Data Plan Fios Gigabit Fiber Connection Internet 5G Business Unlimited Smartphone Plan Receipt #20129",Utilities & Bills
"Kaiser Permanente Outpatient Surgical Procedure Facility Prescription Copayment Specialty Meds Diagnostic Ultrasound Scan Examination Receipt #70334",Healthcare & Pharmacy
"City Water Department Municipal Water Sewage Usage Service Sanitation Waste Management Utility Bill Ref#15560",Utilities & Bills
"Vercel Serverless Edge Functions Custom Domain SSL Certificate Pro Team Deployment Hosting Txn ID: 67708",Software & Cloud Services
"Coursera Specialization Monthly Subscription #INV-37109",Education & Subscriptions
"State Farm Insurance Homeowners Policy Premium Invoice Personal Umbrella Policy Premium Qty: 92620",Insurance & Financial Fees
"State Farm Insurance Homeowners Policy Premium Invoice Ref#70622",Insurance & Financial Fees
"Deloitte Financial Audit Accounting Services Corporate Tax Compliance Advisory Total: $1551.00",Professional & Legal Services
"AT&T Business Unlimited Mobile Wireless Line Fiber Internet 1000Mbps Service Bill Receipt #9110",Utilities & Bills
"Docker Container Image Security #INV-22680",Software & Cloud Services
"T-Mobile Business Unlimited 5G Smartphone Lines Ref#94882",Utilities & Bills
"AT&T Digital Landline Phone Service Account Business Unlimited Mobile Wireless Line Fiber Internet 1000Mbps Service Bill ₹60433,000",Utilities & Bills
"EY Ernst & Young M&A Due Diligence Advisory Enterprise Risk Management Consulting Global Tax Advisory Retainer Ref#13753",Professional & Legal Services
"Mailchimp Transactional Email API Credits #INV-65519",Marketing & Advertising
"AMC Theatres Large Popcorn Soda Combo Meal IMAX Cinema Ticket Pass Order #54722",Entertainment & Events
"Five Guys Bacon Cheeseburger Total: $40850.00",Food & Dining
"Southern California Edison SCE Solar Net Energy Metering Adjustment Receipt #90996",Utilities & Bills
"Google Workspace Google Drive Additional Capacity Business Plus Email Storage Enterprise Workspace Seats Order #54713",Software & Cloud Services
"JLL Jones Lang LaSalle Retail Space Lease Payment Ref#43565",Real Estate & Rent
"Delta Air Lines First Class Flight Seat Total: $36740.00",Travel & Transport
"Google Workspace Google Drive Additional Capacity Business Plus Email Storage Enterprise Workspace Seats #INV-13938",Software & Cloud Services
"Costco Wholesale Organic Extra Virgin Olive Oil 2L Rotisserie Chicken Whole Purified Drinking Water 40 Bottle Case Txn ID: 79500",Groceries & Supermarkets
"DocuSign Envelope Quota Extension Pack Business Pro eSignature Plan Identity Verification API Access Qty: 3958",Professional & Legal Services
"Spotify Family Plan Music Streaming Premium Individual Monthly Subscription Duo Subscription Student Discount Qty: 26922",Entertainment & Events
"Ahrefs Advanced SEO Keyword Research Tool Txn ID: 98278",Marketing & Advertising
"Allstate Insurance Commercial Liability Insurance Policy ₹22557,000",Insurance & Financial Fees
"Waste Management WM Commercial Trash Dumpster Rental Collection Order #80963",Utilities & Bills
"CenturyLink Lumen SIP Trunking Voice Channel Dedicated Fiber Internet Line Business Broadband DSL Service Qty: 68318",Telecommunications & Internet
"State Farm Insurance Personal Umbrella Policy Premium Total: $22401.00",Insurance & Financial Fees
"Olive Garden Tour of Italy Dinner Total: $17356.00",Food & Dining
"Home Depot Werner 6ft Fiberglass Stepladder Benjamin Moore Interior Paint 1 Gal Total: $5648.00",Maintenance & Repairs
"Supabase Storage Bucket Bandwidth Transfer Compute Add-on Instance Size Pro Cloud Database Subscription Txn ID: 60272",Software & Cloud Services
"Sears Auto Center Transmission Fluid Service Flush Qty: 40298",Maintenance & Repairs
"Eventbrite Networking Event Ticket Admission Seminar Registration Fee Total: $61422.00",Entertainment & Events
"Zoom Video Communications Pro Host Meeting License Zoom Webinars 500 Attendees Qty: 32850",Software & Cloud Services
"Geico Insurance Monthly Vehicle Policy Renewal Comprehensive Collision Coverage ₹39747,000",Insurance & Financial Fees
"City Medical Clinic Primary Care Physician Consultation Urgent Care Outpatient Visit Co-pay Diagnostic X-Ray Examination Chest Total: $26929.00",Healthcare & Pharmacy
"National Grid Pipeline Safety Inspection Assessment Electric Distribution Supply Account #INV-9484",Utilities & Bills
"Sweetgreen Kale Caesar Salad Total: $62475.00",Food & Dining
"Spectrum Business Voice Landline Phone Service Commercial Cable TV Broadcast Channel Business Internet Ultra 600Mbps Connection Order #56362",Utilities & Bills
"Jiffy Lube Windshield Wiper Blade Pair Install Serpentine Belt Inspection Replacement Store #10755",Maintenance & Repairs
"KPMG Transfer Pricing Tax Analysis Cybersecurity Advisory Services Statutory Financial Statement Audit Ref#84194",Professional & Legal Services
"JLL Jones Lang LaSalle Commercial Real Estate Rent Invoice Retail Space Lease Payment Building Operating Expenses Adjustment Receipt #55687",Real Estate & Rent
"Eventbrite Professional Workshop Conference Pass Receipt #79225",Entertainment & Events
"JLL Jones Lang LaSalle Retail Space Lease Payment Store #13733",Real Estate & Rent
"Whole Foods Market Fresh Organic Bananas Bunch Wild Caught Salmon Fillet Txn ID: 26441",Groceries & Supermarkets
"AT&T Fiber Wi-Fi Gateway Equipment Rental Fee Order #82373",Telecommunications & Internet
"Mayo Clinic Specialist Consultation Outpatient Visit Orthopedic Physical Therapy Evaluation Total: $63263.00",Healthcare & Pharmacy
"Mayo Clinic Cardiology Electrocardiogram ECG Test Ref#87752",Healthcare & Pharmacy
"Allstate Insurance Property Casualty Insurance Premium ₹32354,000",Insurance & Financial Fees
"T-Mobile Business Unlimited 5G Smartphone Lines Ref#87333",Utilities & Bills
"JLL Jones Lang LaSalle Commercial Real Estate Rent Invoice ₹90499,000",Real Estate & Rent
"Consolidated Water Sewer Service Treatment Discharge Commercial Fresh Water Supply Consumption ₹4546,000",Utilities & Bills
"OfficeMax Heavy Duty Stapler with Staples Clorox Disinfecting Wipes Surface Metal Paper Clips Jumbo 1000 Box Ref#46910",Office Supplies & Equipment
"Verizon Fios 1000Mbps Fiber Internet Service Digital Home Phone Line Fios TV Ultimate HD Channel Package Txn ID: 28138",Telecommunications & Internet
"NYC Transit MetroCard Refill Fare Transit Express Bus Single Ride 30-Day Unlimited Subway Pass #INV-44215",Travel & Transport
"Budget Car Rental GPS Device Rental Compact Car Daily Lease #INV-9123",Travel & Transport
"AT&T Fiber Gigabit Fiber Internet Monthly Bill Static IP Address Block Monthly Wi-Fi Gateway Equipment Rental Fee Order #45844",Telecommunications & Internet
"Docker Docker Hub Team Subscription Txn ID: 78561",Software & Cloud Services
"McDonalds Big Mac Meal ₹92357,000",Food & Dining
"JPMorgan Chase Bank Commercial Overdraft Protection Charge Total: $65189.00",Insurance & Financial Fees
"JLL Jones Lang LaSalle Commercial Real Estate Rent Invoice Total: $60413.00",Real Estate & Rent
"Amtrak Regional Express Ticket Ref#16557",Travel & Transport
"Stripe Processing Fee Chargeback Total: $89475.00",Software & Cloud Services
"Harvard Business Review HBR Digital Subscription Annual Executive Leadership Magazine Case Study PDF Download License Store #83810",Education & Subscriptions
"Quill Desk Pad Calendar Monthly Planner Fellowes Cross-Cut Paper Shredder Qty: 36373",Office Supplies & Equipment
"CenturyLink Lumen Dedicated Fiber Internet Line Business Broadband DSL Service SIP Trunking Voice Channel Receipt #85498",Telecommunications & Internet
"Target Avery Printable Mailing Labels Sharpie Permanent Markers Fine Point #INV-12423",Office Supplies & Equipment
"Vercel Serverless Edge Functions Custom Domain SSL Certificate Store #36294",Software & Cloud Services
"AT&T Fiber Gigabit Fiber Internet Monthly Bill Static IP Address Block Monthly Order #84132",Telecommunications & Internet
"Safeway Supermarket Boneless Skinless Chicken Breast Sparkling Water 12 Pack Cans Store #83996",Groceries & Supermarkets
"DocuSign Identity Verification API Access Business Pro eSignature Plan Envelope Quota Extension Pack Receipt #65963",Professional & Legal Services
"Staples HP Black Toner Cartridge Laserjet Order #23907",Office Supplies & Equipment
"City Water Department Municipal Water Sewage Usage Service Commercial Water Meter Consumption Total: $20985.00",Utilities & Bills
"Uline Corrugated Cardboard Boxes 12x12x12 Industrial Stretch Wrap Film Bubble Wrap Cushioning Roll 100ft Total: $77229.00",Office Supplies & Equipment
"Comcast Business Business Internet 1 Gig Line VoIP Business Voice Lines 5 Seats Static IP Address Subnet Order #72998",Telecommunications & Internet
"CBRE Commercial Common Area Maintenance CAM Fee Office Space Monthly Lease Commercial Property Management Charge Receipt #66113",Real Estate & Rent
"Safeway Supermarket Signature Select Wheat Bread Fresh Strawberries 1lb Package Boneless Skinless Chicken Breast Qty: 68183",Groceries & Supermarkets
"Microsoft 365 Business Standard License #INV-40207",Software & Cloud Services
"Kaiser Permanente Doctor Visit Co-pay General Practice Outpatient Surgical Procedure Facility Total: $29676.00",Healthcare & Pharmacy
"GitHub Actions CI/CD Runner Minutes LFS Large File Storage Enterprise Team License Store #94656",Software & Cloud Services
"Southern California Edison SCE Solar Net Energy Metering Adjustment Commercial Electricity Tariff Usage Order #29720",Utilities & Bills
"Verizon LTE Mobile Hotspot Data Plan Total: $43952.00",Utilities & Bills
"City Water Department Commercial Water Meter Consumption Sanitation Waste Management Utility Bill Municipal Water Sewage Usage Service Order #24343",Utilities & Bills
"JPMorgan Chase Bank Wire Transfer International Fee Monthly Checking Account Service Fee #INV-37063",Insurance & Financial Fees
"JLL Jones Lang LaSalle Building Operating Expenses Adjustment Commercial Real Estate Rent Invoice #INV-63352",Real Estate & Rent
"Netflix Extra Member Slot Fee #INV-67829",Entertainment & Events
"CBRE Commercial Office Space Monthly Lease Common Area Maintenance CAM Fee Commercial Property Management Charge Total: $89952.00",Real Estate & Rent
"Comcast Business Business Internet 1 Gig Line Static IP Address Subnet ₹69052,000",Telecommunications & Internet
"Semrush Site Audit Backlink Crawler Guru SEO Competitor Analytics Plan Keyword Rank Tracking Subscription Total: $41843.00",Marketing & Advertising
"JLL Jones Lang LaSalle Commercial Real Estate Rent Invoice Txn ID: 45003",Real Estate & Rent
"State Farm Insurance Auto Insurance Liability Policy Personal Umbrella Policy Premium Store #96523",Insurance & Financial Fees
"Labcorp Urinalysis Diagnostic Culture Screen ₹37603,000",Healthcare & Pharmacy
"Trader Joes Organic Baby Spinach Salad Dark Chocolate Peanut Butter Cups Mandarin Orange Chicken Frozen Txn ID: 649",Groceries & Supermarkets
"Bank of America International Transaction Fee Merchant Processing Monthly Service Fee Store #78814",Insurance & Financial Fees
"Rite Aid Heating Pad Electric Muscle Relief ₹17933,000",Healthcare & Pharmacy
"Wall Street Journal WSJ Print Weekend Newspaper Delivery Subscription Digital News Unlimited Access #INV-68760",Education & Subscriptions
"Google Workspace Google Drive Additional Capacity Enterprise Workspace Seats Total: $26803.00",Software & Cloud Services
"Hulu Addon Premium Channel Access Txn ID: 1952",Entertainment & Events
"Ticketmaster Concert Ticket Event Admission Stadium Sports Game Pass Facility Service Processing Fee Txn ID: 13072",Entertainment & Events
"AT&T Fiber Static IP Address Block Monthly Total: $42685.00",Telecommunications & Internet
"CBRE Commercial Common Area Maintenance CAM Fee Commercial Property Management Charge Qty: 74054",Real Estate & Rent
"National Grid Pipeline Safety Inspection Assessment Electric Distribution Supply Account #INV-63678",Utilities & Bills
"Walgreens Nature Made Multivitamin Softgels Omron Upper Arm Blood Pressure Monitor Txn ID: 76460",Healthcare & Pharmacy
"Quest Diagnostics Lipid Panel Cholesterol Screening Comprehensive Metabolic Panel Bloodwork ₹6509,000",Healthcare & Pharmacy
"Rite Aid Hydrogen Peroxide Antiseptic Liquid Heating Pad Electric Muscle Relief Store #63307",Healthcare & Pharmacy
"PlayStation Network In-Game Currency Addon Pack PS Plus Extra 12-Month Membership Digital Game Store Purchase Qty: 28024",Entertainment & Events
"JPMorgan Chase Bank Monthly Checking Account Service Fee Wire Transfer International Fee Commercial Overdraft Protection Charge Txn ID: 76537",Insurance & Financial Fees
"Cloudflare DDoS Protection Premium ₹51989,000",Software & Cloud Services
"Geico Insurance Auto Vehicle Insurance Premium Comprehensive Collision Coverage Monthly Vehicle Policy Renewal Qty: 97569",Insurance & Financial Fees
"Enterprise Rent-A-Car Unlimited Mileage Addon ₹42540,000",Travel & Transport
"Geico Insurance Comprehensive Collision Coverage Store #15032",Insurance & Financial Fees
"JLL Jones Lang LaSalle Building Operating Expenses Adjustment Retail Space Lease Payment ₹25178,000",Real Estate & Rent
"EY Ernst & Young Global Tax Advisory Retainer Enterprise Risk Management Consulting M&A Due Diligence Advisory Qty: 6096",Professional & Legal Services
"AT&T Fiber Gigabit Fiber Internet Monthly Bill Static IP Address Block Monthly Total: $17866.00",Telecommunications & Internet
"Wal-Mart Pharmacy Blood Glucose Monitoring Meter Kit Omega 3 Fish Oil Concentrated Softgels Generic Prescription Medication Refill Order #61170",Healthcare & Pharmacy
"Ticketmaster VIP Reserved Ticket Seat Facility Service Processing Fee Ref#75280",Entertainment & Events
"State Farm Insurance Personal Umbrella Policy Premium Auto Insurance Liability Policy Homeowners Policy Premium Invoice Total: $53995.00",Insurance & Financial Fees
"Discount Tire Michelin Defender All-Season Tire 4 Pack Tire Pressure Sensor TPMS Replacement Tire Mounting Balancing Disposal Qty: 21112",Maintenance & Repairs
"Whole Foods Market Extra Virgin Olive Oil Bottle #INV-82282",Groceries & Supermarkets
"Safeway Supermarket Fresh Strawberries 1lb Package Txn ID: 18721",Groceries & Supermarkets
"Costco Wholesale Kirkland Signature Paper Towels 12 Roll Purified Drinking Water 40 Bottle Case Rotisserie Chicken Whole Txn ID: 10637",Groceries & Supermarkets
"T-Mobile Business Unlimited 5G Smartphone Lines SyncUP Fleet Vehicle Tracking Device ₹51323,000",Utilities & Bills
"Wal-Mart Pharmacy Blood Glucose Monitoring Meter Kit Generic Prescription Medication Refill #INV-66446",Healthcare & Pharmacy
"Safeway Supermarket Sparkling Water 12 Pack Cans ₹57853,000",Groceries & Supermarkets
"Greystar Real Estate Reserved Parking Space Lease Total: $65193.00",Real Estate & Rent
"Five Guys Vanilla Milkshake Qty: 41652",Food & Dining
"CenturyLink Lumen Dedicated Fiber Internet Line Txn ID: 4168",Telecommunications & Internet
"Panda Express Beijing Beef Chow Mein Orange Chicken Plate Honey Walnut Shrimp #INV-73534",Food & Dining
"AT&T Fiber Static IP Address Block Monthly Gigabit Fiber Internet Monthly Bill Wi-Fi Gateway Equipment Rental Fee Total: $13680.00",Telecommunications & Internet
"Lincoln Property Co Tenant Utility Submeter Charge Building Maintenance Fee Order #37650",Real Estate & Rent
"Spotify Duo Subscription Student Discount Family Plan Music Streaming Premium Individual Monthly Subscription Total: $56668.00",Entertainment & Events
"Clio Trust Accounting Compliance Order #45281",Professional & Legal Services
"Mayo Clinic MRI Diagnostic Brain Imaging Scan Specialist Consultation Outpatient Visit Order #47826",Healthcare & Pharmacy
"Kroger Supermarket Cage Free Grade A Eggs Dozen Organic Greek Yogurt Vanilla Fresh Gala Apples 3lb Bag Txn ID: 88752",Groceries & Supermarkets
"Meta Facebook Ads Meta Pixel Retargeting Ads Ref#98671",Marketing & Advertising
"Five Guys Bacon Cheeseburger Kosher Hot Dog Vanilla Milkshake Total: $11142.00",Food & Dining
"Cloudflare Workers KV Storage Usage Pro Plan Web Security CDN Registrar Domain Renewal Txn ID: 4412",Software & Cloud Services
"JLL Jones Lang LaSalle Building Operating Expenses Adjustment Commercial Real Estate Rent Invoice Retail Space Lease Payment Ref#23450",Real Estate & Rent
"AT&T Fiber Static IP Address Block Monthly Gigabit Fiber Internet Monthly Bill ₹16651,000",Telecommunications & Internet
"Lowes Pipe Wrench Adjustable Plumbing Craftsman Socket Wrench Tool Set Husky Heavy Duty Workbench Order #46403",Maintenance & Repairs
"State Farm Insurance Homeowners Policy Premium Invoice Total: $73346.00",Insurance & Financial Fees
"Safeway Supermarket Sparkling Water 12 Pack Cans Total: $94054.00",Groceries & Supermarkets
"PG&E Pacific Gas Electric Clean Energy Solar Power Assessment Order #89504",Utilities & Bills
"CVS Pharmacy Neosporin Antibiotic Ointment Tube Advil Ibuprofen 200mg Pain Reliever Adhesive Bandages 100 Pack Total: $96851.00",Healthcare & Pharmacy
"Costco Wholesale Purified Drinking Water 40 Bottle Case Rotisserie Chicken Whole Kirkland Signature Paper Towels 12 Roll #INV-9435",Groceries & Supermarkets
"Subway Tuna Salad Sub 6 inch Italian BMT Txn ID: 83163",Food & Dining
"Shell Gas Station V-Power Premium Diesel Txn ID: 60871",Travel & Transport
"Burger King Double Cheeseburger Whopper Extra Cheese ₹95780,000",Food & Dining
"DocuSign Business Pro eSignature Plan Envelope Quota Extension Pack Identity Verification API Access #INV-66626",Professional & Legal Services
"Coursera Specialization Monthly Subscription Order #16333",Education & Subscriptions
"Whole Foods Market Artisanal Sourdough Bread Total: $95782.00",Groceries & Supermarkets
"Mailchimp Standard Email Marketing Plan Transactional Email API Credits Automated Customer Journey Builder Qty: 64745",Marketing & Advertising
"Comcast Business VoIP Business Voice Lines 5 Seats Receipt #55314",Telecommunications & Internet
"Greystar Real Estate Pet Rent Monthly Fee Reserved Parking Space Lease Community Amenity Maintenance Fee Qty: 50749",Real Estate & Rent
"Pep Boys Front Suspension Strut Replacement Total: $52857.00",Maintenance & Repairs
"PwC PricewaterhouseCoopers Regulatory Compliance Audit Transaction Tax Structuring Services Total: $46887.00",Professional & Legal Services
"Discount Tire Tire Pressure Sensor TPMS Replacement ₹20130,000",Maintenance & Repairs
"Greystar Real Estate Community Amenity Maintenance Fee Ref#42302",Real Estate & Rent
"Best Buy CyberPower 1500VA Battery UPS High Speed HDMI 2.1 Cable 6ft Logitech MX Master 3S Mouse Txn ID: 11420",Office Supplies & Equipment
"CenturyLink Lumen Business Broadband DSL Service Dedicated Fiber Internet Line #INV-26957",Telecommunications & Internet
"Hulu Addon Premium Channel Access Total: $99318.00",Entertainment & Events
"AutoZone Brake Pads Front Ceramic Set Spark Plugs Platinum 4 Pack #INV-52846",Maintenance & Repairs
"Costco Wholesale Kirkland Signature Paper Towels 12 Roll ₹93091,000",Groceries & Supermarkets
"Home Depot Ryobi Pressure Washer 2000 PSI Receipt #67293",Maintenance & Repairs
"Taco Bell Cinnamon Twists Doritos Locos Tacos Cheesy Gordita Crunch Order #62442",Food & Dining
"Spectrum Business Internet Ultra 600Mbps Connection Business Voice Landline Phone Service Commercial Cable TV Broadcast Channel #INV-80837",Utilities & Bills
"CenturyLink Lumen SIP Trunking Voice Channel Dedicated Fiber Internet Line Qty: 86390",Telecommunications & Internet
"LinkedIn Learning Enterprise Skill Training Subscription Monthly Unlimited Learning Access #INV-65223",Education & Subscriptions
"Rocket Lawyer Attorney On-Call Advice Consultation Corporate Resolution Drafting Legal Document Template Access Order #94797",Professional & Legal Services
"CBRE Commercial Commercial Property Management Charge Office Space Monthly Lease Store #97632",Real Estate & Rent
"Office Depot Manila File Folders 100 Pack Post-it Sticky Notes 12 Pack Qty: 94035",Office Supplies & Equipment
"Chevron Supreme 93 Fueling Car Wash Express Store #10752",Travel & Transport
"Lincoln Property Co Building Maintenance Fee Residential Suite Lease Payment Total: $67374.00",Real Estate & Rent
"Hulu Live TV Bundle Disney+ ESPN+ Addon Premium Channel Access No Ads Streaming Subscription Total: $25867.00",Entertainment & Events
"Cracker Barrel Old Timer Breakfast Txn ID: 69897",Food & Dining
"Bank of America Merchant Processing Monthly Service Fee International Transaction Fee Total: $33913.00",Insurance & Financial Fees
"McDonalds Big Mac Meal Total: $3683.00",Food & Dining
"Wal-Mart Pharmacy Test Strips Diabetic Care 50 Count Omega 3 Fish Oil Concentrated Softgels ₹56574,000",Healthcare & Pharmacy
"Pep Boys Radiator Coolant Flush Service Order #85904",Maintenance & Repairs
"Udemy Python Data Science Masterclass Online Video Course Purchase Total: $8176.00",Education & Subscriptions
"Harvard Business Review HBR Digital Subscription Annual Executive Leadership Magazine Ref#14219",Education & Subscriptions
"Comcast Business Static IP Address Subnet Business Internet 1 Gig Line VoIP Business Voice Lines 5 Seats Total: $99827.00",Telecommunications & Internet
"Walmart Stainless Steel Scissors 8 Inch Qty: 31110",Office Supplies & Equipment
"Stripe Processing Fee Chargeback Stripe Billing Subscriptions Radar Fraud Prevention Order #83940",Software & Cloud Services
"Lincoln Property Co Residential Suite Lease Payment Tenant Utility Submeter Charge Building Maintenance Fee Total: $30388.00",Real Estate & Rent
"Greystar Real Estate Monthly Apartment Rent Payment Community Amenity Maintenance Fee Ref#81356",Real Estate & Rent
"Ticketmaster Stadium Sports Game Pass Facility Service Processing Fee Total: $46949.00",Entertainment & Events
"Staples Mesh Ergonomic Office Chair Heavy Duty Binders 2 Inch Total: $31568.00",Office Supplies & Equipment
"Greystar Real Estate Pet Rent Monthly Fee Monthly Apartment Rent Payment Ref#62831",Real Estate & Rent
"Wall Street Journal WSJ Print Weekend Newspaper Delivery Subscription Digital News Unlimited Access Store #74766",Education & Subscriptions
"Trader Joes Everything Bagel Sesame Seasoning ₹59522,000",Groceries & Supermarkets
"Wall Street Journal WSJ Print Weekend Newspaper Delivery Subscription Digital News Unlimited Access Total: $39453.00",Education & Subscriptions
"T-Mobile SyncUP Fleet Vehicle Tracking Device Business Unlimited 5G Smartphone Lines ₹64403,000",Utilities & Bills
"Verizon Fios Fios TV Ultimate HD Channel Package #INV-80151",Telecommunications & Internet
"Discount Tire Tire Mounting Balancing Disposal Michelin Defender All-Season Tire 4 Pack #INV-24414",Maintenance & Repairs
"Semrush Guru SEO Competitor Analytics Plan Site Audit Backlink Crawler Keyword Rank Tracking Subscription #INV-35832",Marketing & Advertising
"Jiffy Lube Engine Air Filter Replacement Serpentine Belt Inspection Replacement ₹4663,000",Maintenance & Repairs
"Google Workspace Business Plus Email Storage Enterprise Workspace Seats Qty: 69182",Software & Cloud Services
"Greystar Real Estate Community Amenity Maintenance Fee Ref#50077",Real Estate & Rent
"Trader Joes Cold Brew Coffee Concentrate Mandarin Orange Chicken Frozen Everything Bagel Sesame Seasoning Order #35529",Groceries & Supermarkets
"Verizon Fios 1000Mbps Fiber Internet Service Digital Home Phone Line Fios TV Ultimate HD Channel Package Store #55846",Telecommunications & Internet
"Semrush Keyword Rank Tracking Subscription Site Audit Backlink Crawler Guru SEO Competitor Analytics Plan Store #57925",Marketing & Advertising
"Lowes Craftsman Socket Wrench Tool Set Pipe Wrench Adjustable Plumbing Store #86614",Maintenance & Repairs
"Geico Insurance Monthly Vehicle Policy Renewal Auto Vehicle Insurance Premium Order #97521",Insurance & Financial Fees
"Ahrefs Content Explorer Search Tool Advanced SEO Keyword Research Tool Site Explorer Domain Rating Tracker Total: $81925.00",Marketing & Advertising
"Harvard Business Review Case Study PDF Download License Total: $42931.00",Education & Subscriptions
"Microsoft 365 Teams Phone System License #INV-87640",Software & Cloud Services
"Discount Tire Michelin Defender All-Season Tire 4 Pack Tire Pressure Sensor TPMS Replacement ₹76663,000",Maintenance & Repairs
"Meta Facebook Ads Facebook Feed Lead Generation Ads Instagram Sponsored Post Campaign Store #2609",Marketing & Advertising
"CDW Lenovo ThinkPad Docking Station APC Smart-UPS Uninterruptible Power Total: $371.00",Office Supplies & Equipment
"Hulu No Ads Streaming Subscription ₹71434,000",Entertainment & Events
"Whole Foods Market Wild Caught Salmon Fillet Extra Virgin Olive Oil Bottle Artisanal Sourdough Bread Receipt #35444",Groceries & Supermarkets
"AT&T Fiber Static IP Address Block Monthly Total: $11633.00",Telecommunications & Internet
"Whole Foods Market Organic Whole Milk Gallon Txn ID: 29568",Groceries & Supermarkets
"Five Guys Cajun Fries Large Vanilla Milkshake Bacon Cheeseburger Order #4916",Food & Dining
